B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
6,1.00E+05,1000,0.01,6,kmeans++,hdf5,43.356,5.524,49.076,10,1
7,1.00E+05,1000,0.01,6,kmeans++,hdf5,41.686,3.486,45.609,10,1
8,1.00E+05,1000,0.01,6,kmeans++,hdf5,49.983,5.89,58.747,10,1
9,1.00E+05,1000,0.01,6,kmeans++,hdf5,58.626,7.295,65.991,10,1
10,1.00E+05,1000,0.01,6,kmeans++,hdf5,40.849,4.229,46.342,10,1
1,1.00E+05,1000,0.01,7,kmeans++,hdf5,55.603,6.463,62.515,10,1
2,1.00E+05,1000,0.01,7,kmeans++,hdf5,39.613,4.118,45.197,10,1
3,1.00E+05,1000,0.01,7,kmeans++,hdf5,54.342,6.268,60.643,10,1
4,1.00E+05,1000,0.01,7,kmeans++,hdf5,45.223,4.274,50.615,10,1
5,1.00E+05,1000,0.01,7,kmeans++,hdf5,53.752,6.407,60.275,10,1
6,1.00E+05,1000,0.01,7,kmeans++,hdf5,38.378,3.703,43.292,10,1
7,1.00E+05,1000,0.01,7,kmeans++,hdf5,44.379,4.133,49.654,10,1
8,1.00E+05,1000,0.01,7,kmeans++,hdf5,40.494,4.152,45.494,10,1
9,1.00E+05,1000,0.01,7,kmeans++,hdf5,43.131,3.711,47.542,10,1
10,1.00E+05,1000,0.01,7,kmeans++,hdf5,42.48,4.04,46.865,10,1
1,1.00E+05,1000,0.01,8,kmeans++,hdf5,51.947,5.825,57.794,10,1
2,1.00E+05,1000,0.01,8,kmeans++,hdf5,60.483,4.116,64.699,10,1
3,1.00E+05,1000,0.01,8,kmeans++,hdf5,39.051,4.254,43.321,10,1
4,1.00E+05,1000,0.01,8,kmeans++,hdf5,49.555,5.527,55.191,10,1
5,1.00E+05,1000,0.01,8,kmeans++,hdf5,33.477,3.13,36.622,10,1
6,1.00E+05,1000,0.01,8,kmeans++,hdf5,34.425,3.563,38.004,10,1
7,1.00E+05,1000,0.01,8,kmeans++,hdf5,43.998,5.592,49.61,10,1
8,1.00E+05,1000,0.01,8,kmeans++,hdf5,42.275,4.277,46.568,10,1
9,1.00E+05,1000,0.01,8,kmeans++,hdf5,56.523,5.992,62.539,10,1
10,1.00E+05,1000,0.01,8,kmeans++,hdf5,36.978,3.91,40.905,10,1
1,1.00E+05,1000,0.01,9,kmeans++,hdf5,46.436,4.861,52.394,10,1
2,1.00E+05,1000,0.01,9,kmeans++,hdf5,50.486,5.416,56.337,10,1
3,1.00E+05,1000,0.01,9,kmeans++,hdf5,48.596,5.168,54.641,10,1
4,1.00E+05,1000,0.01,9,kmeans++,hdf5,48.914,4.549,54.537,10,1
5,1.00E+05,1000,0.01,9,kmeans++,hdf5,58.741,4.787,63.587,10,1
6,1.00E+05,1000,0.01,9,kmeans++,hdf5,54.696,6.317,61.726,10,1
7,1.00E+05,1000,0.01,9,kmeans++,hdf5,46.867,4.629,52.147,10,1
8,1.00E+05,1000,0.01,9,kmeans++,hdf5,53.999,6.505,61.573,10,1
9,1.00E+05,1000,0.01,9,kmeans++,hdf5,41.232,3.299,45.536,10,1
10,1.00E+05,1000,0.01,9,kmeans++,hdf5,39.793,3.396,43.767,10,1
1,1.00E+05,1000,0.01,10,kmeans++,hdf5,40.971,3.432,44.419,10,1
2,1.00E+05,1000,0.01,10,kmeans++,hdf5,40.578,3.828,44.423,10,1
3,1.00E+05,1000,0.01,10,kmeans++,hdf5,56.65,5.937,62.67,10,1
4,1.00E+05,1000,0.01,10,kmeans++,hdf5,42.506,5.188,47.711,10,1
5,1.00E+05,1000,0.01,10,kmeans++,hdf5,62.399,6.069,68.614,10,1
6,1.00E+05,1000,0.01,10,kmeans++,hdf5,47.845,5.437,53.3,10,1
7,1.00E+05,1000,0.01,10,kmeans++,hdf5,46.233,3.958,50.211,10,1
8,1.00E+05,1000,0.01,10,kmeans++,hdf5,39.106,3.205,42.327,10,1
9,1.00E+05,1000,0.01,10,kmeans++,hdf5,46.277,3.66,49.956,10,1
10,1.00E+05,1000,0.01,10,kmeans++,hdf5,42.056,4.255,46.329,10,1
1,1.00E+05,1000,0.01,11,kmeans++,hdf5,51.88,5.597,58.298,10,1
2,1.00E+05,1000,0.01,11,kmeans++,hdf5,55.41,5.915,63.058,10,1
3,1.00E+05,1000,0.01,11,kmeans++,hdf5,63.374,6.429,69.875,10,1
4,1.00E+05,1000,0.01,11,kmeans++,hdf5,50.555,4.931,56.16,10,1
5,1.00E+05,1000,0.01,11,kmeans++,hdf5,52.879,5.609,60.204,10,1
6,1.00E+05,1000,0.01,11,kmeans++,hdf5,52.118,4.492,57.812,10,1
7,1.00E+05,1000,0.01,11,kmeans++,hdf5,61.295,6.715,68.069,10,1
8,1.00E+05,1000,0.01,11,kmeans++,hdf5,49.705,3.496,53.721,10,1
9,1.00E+05,1000,0.01,11,kmeans++,hdf5,67.581,5.716,73.34,10,1
10,1.00E+05,1000,0.01,11,kmeans++,hdf5,52.359,4.04,57.169,10,1
1,1.00E+05,1000,0.01,12,kmeans++,hdf5,45.869,4.59,50.476,10,1
2,1.00E+05,1000,0.01,12,kmeans++,hdf5,38.476,3.121,41.614,10,1
3,1.00E+05,1000,0.01,12,kmeans++,hdf5,65.676,6.131,71.832,10,1
4,1.00E+05,1000,0.01,12,kmeans++,hdf5,58.529,5.946,64.497,10,1
5,1.00E+05,1000,0.01,12,kmeans++,hdf5,47.574,3.812,51.405,10,1
6,1.00E+05,1000,0.01,12,kmeans++,hdf5,54.5,4.323,58.849,10,1
7,1.00E+05,1000,0.01,12,kmeans++,hdf5,42.477,3.687,46.182,10,1
8,1.00E+05,1000,0.01,12,kmeans++,hdf5,63.92,6.456,70.402,10,1
9,1.00E+05,1000,0.01,12,kmeans++,hdf5,46.438,4.692,51.149,10,1
10,1.00E+05,1000,0.01,12,kmeans++,hdf5,44.642,3.715,48.375,10,1
1,1.00E+05,1000,0.01,13,kmeans++,hdf5,89.608,7.351,97.629,10,1
2,1.00E+05,1000,0.01,13,kmeans++,hdf5,46.029,4.272,51.467,10,1
3,1.00E+05,1000,0.01,13,kmeans++,hdf5,69.771,7.124,78.055,10,1
4,1.00E+05,1000,0.01,13,kmeans++,hdf5,65.445,7.127,74.254,10,1
5,1.00E+05,1000,0.01,13,kmeans++,hdf5,71.998,7.566,79.892,10,1
