"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
17,4000,1000,0.005,3,random,kmeans,0.990118863102052,7821569.72663232
18,4000,1000,0.005,3,random,kmeans,0.988886209346418,8369457.65412546
19,4000,1000,0.005,3,random,kmeans,0.988654425280063,7930306.54719065
20,4000,1000,0.005,3,random,kmeans,0.986625074788653,8390819.26538344
1,4000,1000,0.01,3,random,kmeans,0.982950189007219,7953165.21212695
2,4000,1000,0.01,3,random,kmeans,0.988030166069172,7912916.40664464
3,4000,1000,0.01,3,random,kmeans,0.984404386275015,8294092.35395364
4,4000,1000,0.01,3,random,kmeans,0.988212483093901,8147822.19622851
5,4000,1000,0.01,3,random,kmeans,0.993765162400149,7866757.71825072
6,4000,1000,0.01,3,random,kmeans,0.995107879383621,7715094.20456416
7,4000,1000,0.01,3,random,kmeans,0.989837580778257,7888364.37451995
8,4000,1000,0.01,3,random,kmeans,0.986088100523935,7895702.40765588
9,4000,1000,0.01,3,random,kmeans,0.990770598023241,8073639.55552938
10,4000,1000,0.01,3,random,kmeans,0.992764854579848,7781845.86001604
11,4000,1000,0.01,3,random,kmeans,0.990249379312728,8124763.57425599
12,4000,1000,0.01,3,random,kmeans,0.99110869918098,7949260.88153128
13,4000,1000,0.01,3,random,kmeans,0.991181127093686,8013719.37929575
14,4000,1000,0.01,3,random,kmeans,0.987312393954604,8234938.81995174
15,4000,1000,0.01,3,random,kmeans,0.990158405505297,7874542.7958841
16,4000,1000,0.01,3,random,kmeans,0.992810629571542,7809715.82701756
17,4000,1000,0.01,3,random,kmeans,0.990614264422167,7732811.10220048
18,4000,1000,0.01,3,random,kmeans,0.995289867529989,8068314.49792531
19,4000,1000,0.01,3,random,kmeans,0.989733418634712,7877862.1999209
20,4000,1000,0.01,3,random,kmeans,0.992456190207145,7736263.74718402
1,4000,1000,0.05,3,random,kmeans,0.988776060762913,8001049.84715153
2,4000,1000,0.05,3,random,kmeans,0.990476866556651,7890708.42535605
3,4000,1000,0.05,3,random,kmeans,0.985278153202504,8004569.19831258
4,4000,1000,0.05,3,random,kmeans,0.988859385920007,8140247.55587093
5,4000,1000,0.05,3,random,kmeans,0.995136347908944,8185691.88323993
6,4000,1000,0.05,3,random,kmeans,0.991074492403824,7904710.33502729
7,4000,1000,0.05,3,random,kmeans,0.98972693640987,7960976.89541121
8,4000,1000,0.05,3,random,kmeans,0.985728741721755,8086456.73009727
9,4000,1000,0.05,3,random,kmeans,0.988005753000278,8107038.56068633
10,4000,1000,0.05,3,random,kmeans,0.987615770223246,8073610.01440477
11,4000,1000,0.05,3,random,kmeans,0.992565009713492,8181931.77123991
12,4000,1000,0.05,3,random,kmeans,0.986782042424219,8082397.36989913
13,4000,1000,0.05,3,random,kmeans,0.988378053514258,7814748.98163311
14,4000,1000,0.05,3,random,kmeans,0.991696030858554,7690149.64207939
15,4000,1000,0.05,3,random,kmeans,0.988959810399304,7749767.44773904
16,4000,1000,0.05,3,random,kmeans,0.992599854274849,8166014.08501049
17,4000,1000,0.05,3,random,kmeans,0.995534947671197,7898234.58032574
18,4000,1000,0.05,3,random,kmeans,0.989006443277071,7967711.05405757
19,4000,1000,0.05,3,random,kmeans,0.984985547384208,8082902.51764898
20,4000,1000,0.05,3,random,kmeans,0.992291117812177,7833836.5644622
1,4000,1000,0.1,3,random,kmeans,0.991958962003179,8025110.32691964
2,4000,1000,0.1,3,random,kmeans,0.988765942071893,8084954.03052474
3,4000,1000,0.1,3,random,kmeans,0.982966430599276,8162575.80650126
4,4000,1000,0.1,3,random,kmeans,0.985399108433838,7973782.13194729
5,4000,1000,0.1,3,random,kmeans,0.991006681977176,8002937.29572546
6,4000,1000,0.1,3,random,kmeans,0.989611610923213,8092971.22201213
7,4000,1000,0.1,3,random,kmeans,0.991422109529735,8072575.19290717
8,4000,1000,0.1,3,random,kmeans,0.981697233423979,7809551.23870157
9,4000,1000,0.1,3,random,kmeans,0.990673159632069,8178911.90009597
10,4000,1000,0.1,3,random,kmeans,0.992261990910846,8056815.377078
11,4000,1000,0.1,3,random,kmeans,0.986350889949659,8016481.77952617
12,4000,1000,0.1,3,random,kmeans,0.989388413912007,8107491.83301439
13,4000,1000,0.1,3,random,kmeans,0.979703971393875,7972297.13476127
14,4000,1000,0.1,3,random,kmeans,0.99120921588851,8199819.17804053
15,4000,1000,0.1,3,random,kmeans,0.990454165101521,8035902.38984289
16,4000,1000,0.1,3,random,kmeans,0.985185884470092,7836380.32933287
17,4000,1000,0.1,3,random,kmeans,0.987370294231778,7787651.3668388
18,4000,1000,0.1,3,random,kmeans,0.989990258711727,7870647.36479616
19,4000,1000,0.1,3,random,kmeans,0.994380983258038,8212379.09693847
20,4000,1000,0.1,3,random,kmeans,0.987094740567991,8231068.58216618
1,4000,1000,0.2,3,random,kmeans,0.996927413497987,7812314.23163336
2,4000,1000,0.2,3,random,kmeans,0.988052363848778,7963758.83336581
3,4000,1000,0.2,3,random,kmeans,0.990585498860379,7812072.17551272
4,4000,1000,0.2,3,random,kmeans,0.985346865698646,7987006.41552523
5,4000,1000,0.2,3,random,kmeans,0.990967695009384,8040733.05224392
6,4000,1000,0.2,3,random,kmeans,0.985470835833905,7868951.23827924
7,4000,1000,0.2,3,random,kmeans,0.988925376255931,7893962.2226774
8,4000,1000,0.2,3,random,kmeans,0.989619401661715,8214365.16825003
9,4000,1000,0.2,3,random,kmeans,0.988862579830625,8013450.71572956
10,4000,1000,0.2,3,random,kmeans,0.988652979201688,7773973.4455882
11,4000,1000,0.2,3,random,kmeans,0.987210154501085,8096263.20475304
12,4000,1000,0.2,3,random,kmeans,0.986561340130781,7932965.03326605
13,4000,1000,0.2,3,random,kmeans,0.990475036244235,7841693.5373724
14,4000,1000,0.2,3,random,kmeans,0.989511172069921,7816909.51581955
15,4000,1000,0.2,3,random,kmeans,0.992050832701377,7584526.29729825
16,4000,1000,0.2,3,random,kmeans,0.991419287126199,7807012.06076681
17,4000,1000,0.2,3,random,kmeans,0.990478891120505,8187966.74093158
18,4000,1000,0.2,3,random,kmeans,0.993650701452756,8056726.05421622
19,4000,1000,0.2,3,random,kmeans,0.989831440318068,8022010.99451932
20,4000,1000,0.2,3,random,kmeans,0.987021825527721,8181490.56940253
1,4000,1000,0.35,3,random,kmeans,0.988553615625199,8166515.8092807
2,4000,1000,0.35,3,random,kmeans,0.986562105455954,8265555.91446706
3,4000,1000,0.35,3,random,kmeans,0.988762909854667,7573291.35640867
